id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
NA,Q96RI1,Q96RI1,NA,NR1H4_HUMAN,NR1H4,NR1H4,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,O75469,O75469,NA,NR1I2_HUMAN,NR1I2,NR1I2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q14994,Q14994,NA,NR1I3_HUMAN,NR1I3,NR1I3,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P13056,P13056,NA,NR2C1_HUMAN,NR2C1,NR2C1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P49116,P49116,NA,NR2C2_HUMAN,NR2C2,NR2C2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q9Y466,Q9Y466,NA,NR2E1_HUMAN,NR2E1,NR2E1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q9Y5X4,Q9Y5X4,NA,NR2E3_HUMAN,NR2E3,NR2E3,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P10589,P10589,NA,COT1_HUMAN,NR2F1,NR2F1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P24468,P24468,NA,COT2_HUMAN,NR2F2,NR2F2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P10588,P10588,NA,NR2F6_HUMAN,NR2F6,NR2F6,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P04150,P04150,NA,GCR_HUMAN,NR3C1,NR3C1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P08235,P08235,NA,MCR_HUMAN,NR3C2,NR3C2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P22736,P22736,NA,NR4A1_HUMAN,NR4A1,NR4A1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P43354,P43354,NA,NR4A2_HUMAN,NR4A2,NR4A2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q92570,Q92570,NA,NR4A3_HUMAN,NR4A3,NR4A3,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q13285,Q13285,NA,STF1_HUMAN,NR5A1,NR5A1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,O00482,O00482,NA,NR5A2_HUMAN,NR5A2,NR5A2,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q15406,Q15406,NA,NR6A1_HUMAN,NR6A1,NR6A1,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P16234,P40763,NA,STAT3_HUMAN,PDGFRA,STAT3,1,PMID: 9788278,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P16234,P42224,NA,STAT1_HUMAN,PDGFRA,STAT1,1,PMID: 9788278,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P16234,P42229,NA,STA5A_HUMAN,PDGFRA,STAT5A,1,PMID: 9484840,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P16234,P51692,NA,STA5B_HUMAN,PDGFRA,STAT5B,1,PMID: 9484840,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P09619,P40763,NA,STAT3_HUMAN,PDGFRB,STAT3,1,PMID:10207096;PMID:9484840,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P09619,P42224,NA,STAT1_HUMAN,PDGFRB,STAT1,1,PMID:10207096;PMID:9484840,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P09619,P42229,NA,STA5A_HUMAN,PDGFRB,STAT5A,1,PMID: 9813029,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P09619,P51692,NA,STA5B_HUMAN,PDGFRB,STAT5B,1,PMID: 9813029,RuxTes,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P06401,P06401,NA,PRGR_HUMAN,PGR,PGR,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q07869,Q07869,NA,PPARA_HUMAN,PPARA,PPARA,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q03181,Q03181,NA,PPARD_HUMAN,PPARD,PPARD,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P37231,P37231,NA,PPARG_HUMAN,PPARG,PPARG,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,PTCH_BOC_transmembrane_receptor,P08151,NA,GLI1_HUMAN,PTCH_BOC_transmembrane_receptor,GLI1,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_BOC_transmembrane_receptor,P10070,NA,GLI2_HUMAN,PTCH_BOC_transmembrane_receptor,GLI2,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_BOC_transmembrane_receptor,P10071,NA,GLI3_HUMAN,PTCH_BOC_transmembrane_receptor,GLI3,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_CDON_transmembrane_receptor,P08151,NA,GLI1_HUMAN,PTCH_CDON_transmembrane_receptor,GLI1,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_CDON_transmembrane_receptor,P10070,NA,GLI2_HUMAN,PTCH_CDON_transmembrane_receptor,GLI2,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_CDON_transmembrane_receptor,P10071,NA,GLI3_HUMAN,PTCH_CDON_transmembrane_receptor,GLI3,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_GAS1_transmembrane_receptor,P08151,NA,GLI1_HUMAN,PTCH_GAS1_transmembrane_receptor,GLI1,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_GAS1_transmembrane_receptor,P10070,NA,GLI2_HUMAN,PTCH_GAS1_transmembrane_receptor,GLI2,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,PTCH_GAS1_transmembrane_receptor,P10071,NA,GLI3_HUMAN,PTCH_GAS1_transmembrane_receptor,GLI3,1,reactome;Uniprot;NetPath,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P43115,P14921,PE2R3_HUMAN,ETS1_HUMAN,PTGER3,ETS1,1,PMID:12486127,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P43115,P19419,PE2R3_HUMAN,ELK1_HUMAN,PTGER3,ELK1,1,PMID:12486127,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q03431,Q12948,PTH1R_HUMAN,FOXC1_HUMAN,PTH1R,FOXC1,1,PMID:32431614,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q03431,Q13950,PTH1R_HUMAN,RUNX2_HUMAN,PTH1R,RUNX2,1,PMID:32431614,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,RAreceptor_RARA,P10276,NA,RARA_HUMAN,RAreceptor_RARA,RARA,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARA_RXRA,C9JSJ3,NA,MEIOS_HUMAN,RAreceptor_RARA_RXRA,MEIOSIN,1,publication,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,RAreceptor_RARA_RXRA,P10276,NA,RARA_HUMAN,RAreceptor_RARA_RXRA,RARA,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARA_RXRA,P19793,NA,RXRA_HUMAN,RAreceptor_RARA_RXRA,RXRA,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARB,P10826,NA,RARB_HUMAN,RAreceptor_RARB,RARB,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARB_RXRB,C9JSJ3,NA,MEIOS_HUMAN,RAreceptor_RARB_RXRB,MEIOSIN,1,publication,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,RAreceptor_RARB_RXRB,P10826,NA,RARB_HUMAN,RAreceptor_RARB_RXRB,RARB,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARB_RXRB,P28702,NA,RXRB_HUMAN,RAreceptor_RARB_RXRB,RXRB,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARG,P13631,NA,RARG_HUMAN,RAreceptor_RARG,RARG,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARG_RXRG,C9JSJ3,NA,MEIOS_HUMAN,RAreceptor_RARG_RXRG,MEIOSIN,1,publication,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,RAreceptor_RARG_RXRG,P13631,NA,RARG_HUMAN,RAreceptor_RARG_RXRG,RARG,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RARG_RXRG,P48443,NA,RXRG_HUMAN,RAreceptor_RARG_RXRG,RXRG,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RXRA,P19793,NA,RXRA_HUMAN,RAreceptor_RXRA,RXRA,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RXRB,P28702,NA,RXRB_HUMAN,RAreceptor_RXRB,RXRB,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,RAreceptor_RXRG,P48443,NA,RXRG_HUMAN,RAreceptor_RXRG,RXRG,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P35398,P35398,NA,RORA_HUMAN,RORA,RORA,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q92753,Q92753,NA,RORB_HUMAN,RORB,RORB,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P51449,P51449,NA,RORG_HUMAN,RORC,RORC,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,TGFbeta_receptor1,P84022,NA,SMAD3_HUMAN,TGFbeta_receptor1,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,TGFbeta_receptor1,Q15796,NA,SMAD2_HUMAN,TGFbeta_receptor1,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,TGFbeta_receptor2,P84022,NA,SMAD3_HUMAN,TGFbeta_receptor2,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,TGFbeta_receptor2,Q15796,NA,SMAD2_HUMAN,TGFbeta_receptor2,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P10827,P10827,NA,THA_HUMAN,THRA,THRA,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,P10828,P10828,NA,THB_HUMAN,THRB,THRB,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,Q9NYK1,Q13568,NA,IRF5_HUMAN,TLR7,IRF5,1,PMID:15695821,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Q9NR97,Q13568,NA,IRF5_HUMAN,TLR8,IRF5,1,PMID:15695821,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P19438,P19838,TNR1A_HUMAN,NFKB1_HUMAN,TNFRSF1A,NFKB1,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P20333,P19838,TNR1B_HUMAN,NFKB1_HUMAN,TNFRSF1B,NFKB1,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Type_I_IFNR,P42224,NA,STAT1_HUMAN,Type_I_IFNR,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Type_I_IFNR,P52630,NA,STAT2_HUMAN,Type_I_IFNR,STAT2,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Type_II_IFNR,P42224,NA,STAT1_HUMAN,Type_II_IFNR,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Type_II_IFNR,P52630,NA,STAT2_HUMAN,Type_II_IFNR,STAT2,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Type_III_IFNR,P42224,NA,STAT1_HUMAN,Type_III_IFNR,STAT1,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,Type_III_IFNR,P52630,NA,STAT2_HUMAN,Type_III_IFNR,STAT2,1,Uniprot,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P11473,P11473,VDR_HUMAN,VDR_HUMAN,VDR,VDR,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
