id_cp_interaction,partner_receptor,partner_TF,protein_name_receptor,protein_name_TF,receptor_id,TF_symbol,Effect,Source,Curator,Xrefs_or_figures,Brivanlou_class
NA,ACVR_1A2B_receptor,Q15797,NA,SMAD1_HUMAN,ACVR_1A2B_receptor,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,ACVR_1A2B_receptor,Q99717,NA,SMAD5_HUMAN,ACVR_1A2B_receptor,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,ACVR_1B2B_receptor,P84022,NA,SMAD3_HUMAN,ACVR_1B2B_receptor,SMAD3,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,ACVR_1B2B_receptor,Q15796,NA,SMAD2_HUMAN,ACVR_1B2B_receptor,SMAD2,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,ACVR1_BMPR2,O15198,NA,SMAD9_HUMAN,ACVR1_BMPR2,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,ACVR1_BMPR2,Q15797,NA,SMAD1_HUMAN,ACVR1_BMPR2,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,ACVR1_BMPR2,Q99717,NA,SMAD5_HUMAN,ACVR1_BMPR2,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,P30556,P42224,AGTR1_HUMAN,STAT1_HUMAN,AGTR1,STAT1,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P50052,P40763,AGTR1_HUMAN,STAT3_HUMAN,AGTR1,STAT3,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P30556,P42229,AGTR1_HUMAN,STA5A_HUMAN,AGTR1,STAT5A,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P30556,P51692,AGTR1_HUMAN,STA5B_HUMAN,AGTR1,STAT5B,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P30556,P42226,AGTR1_HUMAN,STAT6_HUMAN,AGTR1,STAT6,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P30556,P52630,AGTR1_HUMAN,STAT2_HUMAN,AGTR1,STAT2,1,NA,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,P10275,P10275,ANDR_HUMAN,ANDR_HUMAN,AR,AR,1,selfAssos,LGarciaAlonso,NA,IIB1_steroid_receptor
NA,BMPR1A_BMPR2,O15198,NA,SMAD9_HUMAN,BMPR1A_BMPR2,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1A_BMPR2,P0C6A0,NA,ZGLP1_HUMAN,BMPR1A_BMPR2,ZGLP1,1,PMID:32054698,LGarciaAlonso,NA,IIA_developmental
NA,BMPR1A_BMPR2,Q15797,NA,SMAD1_HUMAN,BMPR1A_BMPR2,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1A_BMPR2,Q99717,NA,SMAD5_HUMAN,BMPR1A_BMPR2,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1B_BMPR2,O15198,NA,SMAD9_HUMAN,BMPR1B_BMPR2,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1B_BMPR2,P0C6A0,NA,ZGLP1_HUMAN,BMPR1B_BMPR2,ZGLP1,1,PMID:32054698,LGarciaAlonso,NA,IIA_developmental
NA,BMPR1B_BMPR2,Q15797,NA,SMAD1_HUMAN,BMPR1B_BMPR2,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1B_BMPR2,Q99717,NA,SMAD5_HUMAN,BMPR1B_BMPR2,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1B_BMPR2_ACVR1B,O15198,NA,SMAD9_HUMAN,BMPR1B_BMPR2_ACVR1B,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1B_BMPR2_ACVR1B,Q15797,NA,SMAD1_HUMAN,BMPR1B_BMPR2_ACVR1B,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMPR1B_BMPR2_ACVR1B,Q99717,NA,SMAD5_HUMAN,BMPR1B_BMPR2_ACVR1B,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,NA,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1A_ACR2A,O15198,NA,SMAD9_HUMAN,BMR1A_ACR2A,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1A_ACR2A,P0C6A0,NA,ZGLP1_HUMAN,BMR1A_ACR2A,ZGLP1,1,PMID:32054698,LGarciaAlonso,NA,IIA_developmental
NA,BMR1A_ACR2A,Q15797,NA,SMAD1_HUMAN,BMR1A_ACR2A,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1A_ACR2A,Q99717,NA,SMAD5_HUMAN,BMR1A_ACR2A,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1A_AVR2B,O15198,NA,SMAD9_HUMAN,BMR1A_AVR2B,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1A_AVR2B,P0C6A0,NA,ZGLP1_HUMAN,BMR1A_AVR2B,ZGLP1,1,PMID:32054698,LGarciaAlonso,NA,IIA_developmental
NA,BMR1A_AVR2B,Q15797,NA,SMAD1_HUMAN,BMR1A_AVR2B,SMAD1,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1A_AVR2B,Q99717,NA,SMAD5_HUMAN,BMR1A_AVR2B,SMAD5,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
NA,BMR1B_AVR2A,O15198,NA,SMAD9_HUMAN,BMR1B_AVR2A,SMAD9,1,Uniprot;PMID:25136781,LGarciaAlonso,https://www.jbc.org/content/273/40/25628/F9.medium.gif,IIB3b_RL_signal_dependent_cytoplasmic
