Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A024QZ08	A0A024QZ08_HUMAN	Intraflagellar transport 20 homolog (Chlamydomonas), isoform CRA_c	NA	IFT20
A0A024QZ26	A0A024QZ26_HUMAN	Histone deacetylase 6, isoform CRA_c	NA	HDAC6
A0A024QZ86	A0A024QZ86_HUMAN	T-box 2, isoform CRA_a	NA	TBX2
A0A024QZA8	A0A024QZA8_HUMAN	receptor protein-tyrosine kinase (EC 2.7.10.1)	NA	EPHA2
A0A024QZB8	A0A024QZB8_HUMAN	Battenin	NA	CLN3
A0A024QZQ1	A0A024QZQ1_HUMAN	Sirtuin (Silent mating type information regulation 2 homolog) 1 (S. cerevisiae), isoform CRA_a	NA	SIRT1
A0A024QZS3	A0A024QZS3_HUMAN	Phospholipid phosphatase 1 (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.1.3.81) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a)	NA	PPAP2A
A0A024QZU7	A0A024QZU7_HUMAN	Phospholipid phosphatase 1 (EC 3.1.3.106) (EC 3.1.3.4) (EC 3.1.3.81) (Lipid phosphate phosphohydrolase 1) (PAP2-alpha) (Phosphatidate phosphohydrolase type 2a) (Phosphatidic acid phosphatase 2a)	NA	PPAP2A
A0A024R0L5	A0A024R0L5_HUMAN	[tau protein] kinase (EC 2.7.11.26)	NA	GSK3A
A0A024R126	A0A024R126_HUMAN	Nuclear receptor subfamily 4 group A member 1	NA	NR4A1
A0A024R172	A0A024R172_HUMAN	Prostaglandin reductase 1 (EC 1.3.1.48) (EC 1.3.1.74) (15-oxoprostaglandin 13-reductase) (Dithiolethione-inducible gene 1 protein) (Leukotriene B4 12-hydroxydehydrogenase) (NAD(P)H-dependent alkenal/one oxidoreductase)	NA	LTB4DH
A0A024R1J8	A0A024R1J8_HUMAN	Neurofibromin 2 (Bilateral acoustic neuroma), isoform CRA_a	NA	NF2
A0A024R1N1	A0A024R1N1_HUMAN	Myosin, heavy polypeptide 9, non-muscle, isoform CRA_a	NA	MYH9
A0A024R1N6	A0A024R1N6_HUMAN	SRY (Sex determining region Y)-box 10, isoform CRA_a	NA	SOX10
A0A024R1X5	A0A024R1X5_HUMAN	Beclin-1	NA	BECN1
A0A024R230	A0A024R230_HUMAN	Tyrosine-protein kinase receptor (EC 2.7.10.1)	NA	NTRK2
A0A024R244	A0A024R244_HUMAN	Tyrosine-protein kinase (EC 2.7.10.2)	NA	SYK
A0A024R274	A0A024R274_HUMAN	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	NA	SMAD4
A0A024R2B3	A0A024R2B3_HUMAN	Apoptosis regulator Bcl-2	NA	BCL2
A0A024R2Q0	A0A024R2Q0_HUMAN	Chemokine (C-C motif) receptor 2, isoform CRA_a	NA	CCR2
A0A024R2Q3	A0A024R2Q3_HUMAN	Catenin (Cadherin-associated protein), beta 1, 88kDa, isoform CRA_a	NA	CTNNB1
A0A024R324	A0A024R324_HUMAN	Epididymis secretory sperm binding protein (Ras homolog gene family, member A, isoform CRA_a)	NA	RHOA
A0A024R328	A0A024R328_HUMAN	Protein kinase C delta type (EC 2.7.11.13) (nPKC-delta)	NA	PRKCD
A0A024R3C5	A0A024R3C5_HUMAN	D(2) dopamine receptor (Dopamine D2 receptor)	NA	DRD2
A0A024R3C7	A0A024R3C7_HUMAN	Serine-protein kinase ATM (EC 2.7.11.1)	NA	ATM
A0A024R3D7	A0A024R3D7_HUMAN	Beta-secretase 1 (EC 3.4.23.46) (Beta-site amyloid precursor protein cleaving enzyme 1) (Memapsin-2) (Membrane-associated aspartic protease 2)	NA	BACE1
A0A024R3T8	A0A024R3T8_HUMAN	Poly [ADP-ribose] polymerase (EC 2.4.2.30)	NA	PARP1
A0A024R562	A0A024R562_HUMAN	BCL2-antagonist of cell death, isoform CRA_c	NA	BAD
A0A024R5E5	A0A024R5E5_HUMAN	V-type proton ATPase subunit a	NA	TCIRG1
A0A024R5U5	A0A024R5U5_HUMAN	Disintegrin and metalloproteinase domain-containing protein 10 (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease)	NA	ADAM10
A0A024R5Z3	A0A024R5Z3_HUMAN	Mothers against decapentaplegic homolog (MAD homolog) (Mothers against DPP homolog) (SMAD family member)	NA	SMAD3
A0A024R611	A0A024R611_HUMAN	Coronin	NA	CORO1A
A0A024R658	A0A024R658_HUMAN	mRNA decay activator protein ZFP36 (Zinc finger protein 36)	NA	ZFP36L1
A0A024R6A3	A0A024R6A3_HUMAN	Presenilin (EC 3.4.23.-)	NA	PSEN1
A0A024R6R4	A0A024R6R4_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Matrix metalloproteinase-2)	NA	MMP2
A0A024R730	A0A024R730_HUMAN	Cystic fibrosis transmembrane conductance regulator (EC 5.6.1.6) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (cAMP-dependent chloride channel)	NA	CFTR
A0A024R737	A0A024R737_HUMAN	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (EC 3.1.4.54)	NA	NAPE-PLD
A0A024R7D5	A0A024R7D5_HUMAN	Low density lipoprotein receptor (Familial hypercholesterolemia), isoform CRA_b	NA	LDLR
A0A024R7I7	A0A024R7I7_HUMAN	Ras-related protein Rab-3	NA	RAB3A
A0A024R7J0	A0A024R7J0_HUMAN	cAMP-dependent protein kinase (EC 2.7.11.11)	NA	PRKACA
A0A024R7R9	A0A024R7R9_HUMAN	Sodium-dependent phosphate transport protein 2A (Na(+)-dependent phosphate cotransporter 2A) (Sodium/phosphate cotransporter 2A) (Solute carrier family 34 member 1)	NA	SLC34A1
A0A024R7T2	A0A024R7T2_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1)	NA	RET
A0A024R7V4	A0A024R7V4_HUMAN	Proenkephalin-A	NA	PENK
A0A024R809	A0A024R809_HUMAN	Extracellular sulfatase (EC 3.1.6.-)	NA	SULF1
A0A024R813	A0A024R813_HUMAN	Eyes absent homolog (EC 3.1.3.48)	NA	EYA1
A0A024R878	A0A024R878_HUMAN	Endoglin (Osler-Rendu-Weber syndrome 1), isoform CRA_a	NA	ENG
A0A024R8E2	A0A024R8E2_HUMAN	Tyrosine-protein kinase (EC 2.7.10.2)	NA	ABL1
A0A024R8H5	A0A024R8H5_HUMAN	TNF receptor-associated factor (EC 2.3.2.27)	NA	TRAF2
A0A024R8I7	A0A024R8I7_HUMAN	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	NA	AGPAT2
A0A024R8L2	A0A024R8L2_HUMAN	HCG1987119, isoform CRA_a	NA	NA
A0A024R906	A0A024R906_HUMAN	receptor protein-tyrosine kinase (EC 2.7.10.1)	NA	DDR2
A0A024R968	A0A024R968_HUMAN	Calcium-transporting ATPase (EC 7.2.2.10)	NA	ATP2B4
A0A024RA31	A0A024RA31_HUMAN	Aquaporin-1 (Aquaporin-CHIP) (Water channel protein for red blood cells and kidney proximal tubule)	NA	AQP1
A0A024RAA5	A0A024RAA5_HUMAN	Cell division control protein 42 homolog (EC 3.6.5.2)	NA	CDC42
A0A024RAB4	A0A024RAB4_HUMAN	Alkaline phosphatase (EC 3.1.3.1)	NA	ALPL
A0A024RBC0	A0A024RBC0_HUMAN	Kit ligand (c-Kit ligand)	NA	KITLG
A0A024RBC7	A0A024RBC7_HUMAN	Calcium-transporting ATPase (EC 7.2.2.10)	NA	ATP2B1
A0A024RBE9	A0A024RBE9_HUMAN	Synaptotagmin	NA	SYT1
A0A024RBQ4	A0A024RBQ4_HUMAN	T-box 3 (Ulnar mammary syndrome), isoform CRA_a	NA	TBX3
A0A024RC06	A0A024RC06_HUMAN	Myotubularin (EC 3.1.3.64) (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	NA	MTM1
A0A024RC42	A0A024RC42_HUMAN	Cadherin-2 (Neural cadherin)	NA	CDH2
A0A024RCN9	A0A024RCN9_HUMAN	EHMT2 (Euchromatic histone-lysine N-methyltransferase 2, isoform CRA_c)	NA	EHMT2
A0A024RCW6	A0A024RCW6_HUMAN	Peroxisome proliferative activated receptor, delta, isoform CRA_a	NA	PPARD
A0A024RD15	A0A024RD15_HUMAN	Mitogen-activated protein kinase 14 (EC 2.7.11.24) (Mitogen-activated protein kinase p38 alpha)	NA	MAPK14
A0A024RD16	A0A024RD16_HUMAN	Serum response factor (C-fos serum response element-binding transcription factor), isoform CRA_a	NA	SRF
A0A024RD35	A0A024RD35_HUMAN	Elongation of very long chain fatty acids protein 5 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL5) (ELOVL fatty acid elongase 5) (ELOVL FA elongase 5) (Very long chain 3-ketoacyl-CoA synthase 5) (Very long chain 3-oxoacyl-CoA synthase 5)	NA	ELOVL5
A0A024RD80	A0A024RD80_HUMAN	Heat shock protein 90kDa alpha (Cytosolic), class B member 1, isoform CRA_a	NA	HSP90AB1
A0A024RDP8	A0A024RDP8_HUMAN	Multifunctional fusion protein [Includes: Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin); Katanin p60 ATPase-containing subunit A-like 1 (Katanin p60 subunit A-like 1) (p60 katanin-like 1)]	KATNA1	KATNAL1
A0A024RDV3	A0A024RDV3_HUMAN	Retinoblastoma 1 (Including osteosarcoma), isoform CRA_a	NA	RB1
A0A024RE06	A0A024RE06_HUMAN	DNA ligase (EC 6.5.1.1)	NA	LIG4
A0A068F658	A0A068F658_HUMAN	Glucosylceramidase (EC 3.2.1.45)	NA	GBA
A0A068F661	A0A068F661_HUMAN	Glucosylceramidase (EC 3.2.1.45)	NA	NA
A0A075B6G3	A0A075B6G3_HUMAN	Dystrophin	NA	DMD
A0A087WV00	A0A087WV00_HUMAN	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	NA	DGKI
A0A087WZT3	A0A087WZT3_HUMAN	BOLA2-SMG1P6 readthrough	NA	BOLA2-SMG1P6
A0A087X1C5	CP2D7_HUMAN	Putative cytochrome P450 2D7 (EC 1.14.14.1)	NA	CYP2D7
A0A087X296	A0A087X296_HUMAN	Prostaglandin G/H synthase 1 (EC 1.14.99.1) (Cyclooxygenase-1) (Prostaglandin H2 synthase 1) (Prostaglandin-endoperoxide synthase 1)	NA	PTGS1
A0A090N7W4	A0A090N7W4_HUMAN	Cyclin-dependent kinase 5 (Cyclin-dependent kinase 5 isoform 1) (Cyclin-dependent kinase 5, isoform CRA_a) (Epididymis secretory sperm binding protein)	NA	CDK5
A0A090N8E9	A0A090N8E9_HUMAN	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356)	NA	EZH2
A0A0A0MQU7	A0A0A0MQU7_HUMAN	Hepatocyte nuclear factor 1-alpha	NA	HNF1A
A0A0B4J1S7	A0A0B4J1S7_HUMAN	Tyrosine-protein phosphatase non-receptor type 22	NA	PTPN22
A0A0B4J2F0	PIOS1_HUMAN	Protein PIGBOS1 (PIGB opposite strand protein 1)	NA	PIGBOS1
A0A0B4J2F2	SIK1B_HUMAN	Putative serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B)	NA	SIK1B
A0A0C4DGF1	A0A0C4DGF1_HUMAN	Zinc finger and BTB domain-containing protein 32	NA	ZBTB32
A0A0C5B5G6	MOTSC_HUMAN	Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c)	NA	MT-RNR1
A0A0K0K1K3	A0A0K0K1K3_HUMAN	adenylate cyclase (EC 4.6.1.1)	ADCY8	HEL-S-172mP
A0A0K2S4Q6	CD3CH_HUMAN	Protein CD300H (CD300 antigen-like family member H)	NA	CD300H
A0A0S2Z310	A0A0S2Z310_HUMAN	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	NA	ACVRL1
A0A0S2Z366	A0A0S2Z366_HUMAN	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.7)	NA	ACADM
A0A0S2Z381	A0A0S2Z381_HUMAN	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	NA	ADA
A0A0S2Z383	A0A0S2Z383_HUMAN	Homeobox protein Nkx-2.5 (Homeobox protein NK-2 homolog E)	NA	NKX2-5
A0A0S2Z391	A0A0S2Z391_HUMAN	BCL2-antagonist/killer 1 isoform 1	NA	BAK1
A0A0S2Z3A9	A0A0S2Z3A9_HUMAN	Bardet-Biedl syndrome 4 isoform 1 (Bardet-Biedl syndrome 4, isoform CRA_a)	NA	BBS4
A0A0S2Z3C5	A0A0S2Z3C5_HUMAN	Bcl-2-like protein 1 (Apoptosis regulator Bcl-X)	NA	BCL2L1
A0A0S2Z3D5	A0A0S2Z3D5_HUMAN	Apolipoprotein E isoform 1	NA	APOE
A0A0S2Z3Q4	A0A0S2Z3Q4_HUMAN	V-crk sarcoma virus CT10 oncogene-like protein isoform 1	NA	CRK
A0A0S2Z3W3	A0A0S2Z3W3_HUMAN	beta-N-acetylhexosaminidase (EC 3.2.1.52)	NA	HEXA
A0A0S2Z3W6	A0A0S2Z3W6_HUMAN	Sodium/potassium-transporting ATPase subunit alpha	NA	ATP1A2
A0A0S2Z491	A0A0S2Z491_HUMAN	Nucleophosmin	NA	NPM1
A0A0S2Z4C6	A0A0S2Z4C6_HUMAN	Serine/threonine-protein phosphatase (EC 3.1.3.16)	NA	PPP3CA
A0A0S2Z4D1	A0A0S2Z4D1_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	NA	STK11
A0A0S2Z4G9	A0A0S2Z4G9_HUMAN	Ring finger protein 6 isoform 2	NA	RNF6
A0A0S2Z4M1	A0A0S2Z4M1_HUMAN	Axin-1 (Axis inhibition protein 1)	NA	AXIN1
A0A0S2Z4N5	A0A0S2Z4N5_HUMAN	Tumor protein 63 (p63)	TP73L	TP63
A0A0S2Z4Q4	A0A0S2Z4Q4_HUMAN	Hepatocyte growth factor-regulated tyrosine kinase substrate	NA	HGS
A0A0S2Z4R0	A0A0S2Z4R0_HUMAN	Axin-1 (Axis inhibition protein 1)	NA	AXIN1
A0A0S2Z4S4	A0A0S2Z4S4_HUMAN	Toll-like receptor	NA	TLR2
A0A0S2Z4U3	A0A0S2Z4U3_HUMAN	Syndecan	NA	SDC3
A0A0S2Z4Z8	A0A0S2Z4Z8_HUMAN	Receptor-interacting serine-threonine kinase 2 isoform 1	NA	RIPK2
A0A0S2Z5J4	A0A0S2Z5J4_HUMAN	Adaptor-related protein complex 3 beta 1 subunit isoform 1	NA	AP3B1
A0A0S2Z5U8	A0A0S2Z5U8_HUMAN	Dystrobrevin binding protein 1 isoform 1	NA	DTNBP1
A0A0S2Z5X4	A0A0S2Z5X4_HUMAN	Zinc finger protein 688 isoform 4	NA	ZNF688
A0A0S2Z6H0	A0A0S2Z6H0_HUMAN	Zinc finger CCCH-type with G patch domain-containing protein	NA	ZGPAT
A0A0U1RQF0	A0A0U1RQF0_HUMAN	Fatty acid synthase (EC 1.1.1.100) (EC 1.3.1.39) (EC 2.3.1.38) (EC 2.3.1.39) (EC 2.3.1.41) (EC 2.3.1.85) (EC 3.1.2.14) (EC 4.2.1.59)	NA	FASN
A0A0U1RQS4	A0A0U1RQS4_HUMAN	SH3 and multiple ankyrin repeat domains protein 3	NA	SHANK3
A0A0U1RRE5	NBDY_HUMAN	Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody)	LINC01420	NBDY
A0A140VJC8	A0A140VJC8_HUMAN	Amyloid-beta A4 protein	NA	NA
A0A140VJL2	A0A140VJL2_HUMAN	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	NA	NA
A0A140VJL9	A0A140VJL9_HUMAN	Delta-aminolevulinic acid dehydratase (EC 4.2.1.24)	NA	NA
A0A140VJM0	A0A140VJM0_HUMAN	Testicular tissue protein Li 96 (Testicular tissue protein Li 98)	NA	NA
A0A140VJU3	A0A140VJU3_HUMAN	Testicular tissue protein Li 170	NA	NA
A0A140VKC4	A0A140VKC4_HUMAN	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	NA	MECP2
A0A1B0GTW7	CIROP_HUMAN	Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2)	LMLN2	CIROP
A0A1B0GWI1	A0A1B0GWI1_HUMAN	Putative coiled-coil domain-containing protein 196	NA	CCDC196
A0A1B1RVA9	A0A1B1RVA9_HUMAN	Lipoprotein lipase (LPL) (EC 3.1.1.34)	lpl	LPL
A0A1D5RMN4	A0A1D5RMN4_HUMAN	Follicle-stimulating hormone receptor (Follitropin receptor)	NA	FSHR
A0A1U9X797	A0A1U9X797_HUMAN	Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	MEC17	ATAT1
A0A1U9X7R0	A0A1U9X7R0_HUMAN	GABBR1	NA	NA
A0A1U9X8X8	A0A1U9X8X8_HUMAN	Corneodesmosin	NA	NA
A0A218KGR2	A0A218KGR2_HUMAN	Amyloid-beta A4 protein	NA	APP
A0A2R8Y4I8	A0A2R8Y4I8_HUMAN	Spastin (EC 5.6.1.1)	SPG4	SPAST
A0A2U3TZR0	A0A2U3TZR0_HUMAN	Spastin (EC 5.6.1.1)	SPG4	SPAST
A0A2X0SFG1	A0A2X0SFG1_HUMAN	Phosphatidylinositol 3-kinase regulatory subunit alpha (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha)	NA	PIK3R1
A0A384MDY0	A0A384MDY0_HUMAN	Catenin (Cadherin-associated protein), alpha 1, 102kDa, isoform CRA_b (Epididymis secretory sperm binding protein)	NA	CTNNA1
A0A384ME25	A0A384ME25_HUMAN	Epididymis secretory sperm binding protein	NA	NA
A0A384N611	A0A384N611_HUMAN	Protein Wnt	NA	NA
A0A384NL29	A0A384NL29_HUMAN	Superoxide dismutase (EC 1.15.1.1)	NA	NA
A0A384NY87	A0A384NY87_HUMAN	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific lipid-transfer protein) (Propanoyl-CoA C-acyltransferase) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (SCP-chi) (Sterol carrier protein X)	NA	NA
A0A384P5C6	A0A384P5C6_HUMAN	Delta-like protein	NA	NA
A0A384P5Q0	A0A384P5Q0_HUMAN	Catalase (EC 1.11.1.6)	NA	NA
A0A386NCS8	A0A386NCS8_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Phosphatase and tensin homolog)	NA	PTEN
A0A3B3ISY9	A0A3B3ISY9_HUMAN	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	NA	AGK
A0A3B3ISZ0	A0A3B3ISZ0_HUMAN	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	NA	AGK
A0A3B3ITD0	A0A3B3ITD0_HUMAN	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	NA	AGK
A0A499FJK2	A0A499FJK2_HUMAN	Transforming growth factor beta	NA	TGFB1
A0A5B9	TRBC2_HUMAN	T cell receptor beta constant 2	TCRBC2	TRBC2
A0A6G6A825	A0A6G6A825_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Phosphatase and tensin homolog)	NA	NA
A0A7I2PJA1	A0A7I2PJA1_HUMAN	Zinc finger protein GLI2	NA	GLI2
A0A7I2SVS4	A0A7I2SVS4_HUMAN	Histone deacetylase (EC 3.5.1.98)	NA	HDAC4
A0A7P0T828	A0A7P0T828_HUMAN	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (PHS II) (Prostaglandin H2 synthase 2) (Prostaglandin-endoperoxide synthase 2)	NA	PTGS2
A0A7U3JW18	A0A7U3JW18_HUMAN	Fibroblast growth factor (FGF)	NA	FGF5A
A0A7U3L6D0	A0A7U3L6D0_HUMAN	Fibroblast growth factor (FGF)	NA	FGF4B
A0A8D9PH75	A0A8D9PH75_HUMAN	Glutamate receptor	NA	GRIK2
A0A8I5KRS4	A0A8I5KRS4_HUMAN	Myotubularin (EC 3.1.3.64) (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	NA	MTM1
A0A8I5KZ76	A0A8I5KZ76_HUMAN	Myotubularin (EC 3.1.3.64) (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	NA	MTM1
A0A8I5QJL1	A0A8I5QJL1_HUMAN	Myotubularin (EC 3.1.3.64) (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	NA	MTM1
A0A8I5QJV9	A0A8I5QJV9_HUMAN	Myotubularin (EC 3.1.3.64) (EC 3.1.3.95) (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (Phosphatidylinositol-3-phosphate phosphatase)	NA	MTM1
A0AV02	S12A8_HUMAN	Solute carrier family 12 member 8 (Cation-chloride cotransporter 9)	CCC9	SLC12A8
A0AV96	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	NA	RBM47
A0AVF1	IFT56_HUMAN	Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)	IFT56	TTC26
A0AVG3	A0AVG3_HUMAN	t-SNARE domain containing 1 (t-SNARE domain-containing protein 1)	NA	TSNARE1
A0AVI4	TM129_HUMAN	E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129)	NA	TMEM129
A0AVK6	E2F8_HUMAN	Transcription factor E2F8 (E2F-8)	NA	E2F8
A0AVT1	UBA6_HUMAN	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	MOP4 UBE1L2	UBA6
A0FGR8	ESYT2_HUMAN	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	FAM62B KIAA1228	ESYT2
A0FGR9	ESYT3_HUMAN	Extended synaptotagmin-3 (E-Syt3) (Chr3Syt)	FAM62C	ESYT3
A0JLT2	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	LCMR1	MED19
A0JNW5	BLT3B_HUMAN	Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like)	KIAA0701 SHIP164 UHRF1BP1L	BLTP3B
A0JP26	POTB3_HUMAN	POTE ankyrin domain family member B3	NA	POTEB3
A0M8Q6	IGLC7_HUMAN	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)	NA	IGLC7
A0MZ66	SHOT1_HUMAN	Shootin-1 (Shootin1)	KIAA1598	SHTN1
A0N0X8	A0N0X8_HUMAN	Cytochrome P450 1A (EC 1.14.14.1)	NA	CYP1A1
A0PJK1	SC5AA_HUMAN	Sodium/glucose cotransporter 5 (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10)	SGLT5	SLC5A10
A0PJY2	FEZF1_HUMAN	Fez family zinc finger protein 1 (Zinc finger protein 312B)	FEZ ZNF312B	FEZF1
A0PK00	T120B_HUMAN	Transmembrane protein 120B	NA	TMEM120B
A0PK11	CLRN2_HUMAN	Clarin-2	NA	CLRN2
A1A4S6	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	GRAF2	ARHGAP10
A1A4Y4	IRGM_HUMAN	Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47)	IFI1 IRGM1 LRG47	IRGM
A1A519	F170A_HUMAN	Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD)	ZNFD	FAM170A
A1A5B4	ANO9_HUMAN	Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein)	PIG5 TMEM16J TP53I5	ANO9
A1A5C7	S22AN_HUMAN	Solute carrier family 22 member 23	C6orf85	SLC22A23
A1E959	ODAM_HUMAN	Odontogenic ameloblast-associated protein (Apin)	APIN	ODAM
A1KXE4	F168B_HUMAN	Myelin-associated neurite-outgrowth inhibitor (Mani) (p20)	KIAA0280L MANI	FAM168B
A1KZ92	PXDNL_HUMAN	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)	VPO2	PXDNL
A1L0T0	HACL2_HUMAN	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)	AHAS HACL2	ILVBL
A1L167	U2QL1_HUMAN	Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1)	NA	UBE2QL1
A1L190	SYCE3_HUMAN	Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2)	C22orf41 THEG2	SYCE3
A1L390	PKHG3_HUMAN	Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3)	KIAA0599	PLEKHG3
A1L3X0	ELOV7_HUMAN	Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	NA	ELOVL7
A1L4H1	SRCRL_HUMAN	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D)	NA	SSC5D
A1L4K1	FSD2_HUMAN	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)	SPRYD1	FSD2
A1LUE4	A1LUE4_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Urate exporter)	NA	ABCG2
A1LV06	A1LV06_HUMAN	Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6)	NA	ELOVL6
A1MA61	A1MA61_HUMAN	receptor protein-tyrosine kinase (EC 2.7.10.1)	NA	EPHA4
