Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A6Q8PEY3	A0A6Q8PEY3_HUMAN	Nuclear distribution protein nudE homolog 1 (NudE nuclear distribution gene E homolog 1 (A. nidulans), isoform CRA_c)	NA	NDE1
A0A6Q8PEZ7	A0A6Q8PEZ7_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PEZ8	A0A6Q8PEZ8_HUMAN	Kinesin-like protein	NA	KIF5A
A0A6Q8PEZ9	A0A6Q8PEZ9_HUMAN	Hexosyltransferase (EC 2.4.1.-)	NA	B3GALNT2
A0A6Q8PF07	A0A6Q8PF07_HUMAN	histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase)	NA	HARS1
A0A6Q8PF11	A0A6Q8PF11_HUMAN	Chloride channel CLIC-like protein 1	NA	CLCC1
A0A6Q8PF15	A0A6Q8PF15_HUMAN	tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase)	NA	YARS1
A0A6Q8PF16	A0A6Q8PF16_HUMAN	Protein NDRG1 (N-myc downstream-regulated gene 1 protein)	NA	NDRG1
A0A6Q8PF18	A0A6Q8PF18_HUMAN	Tripartite motif-containing protein 2	NA	NA
A0A6Q8PF23	A0A6Q8PF23_HUMAN	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	NA	NGLY1
A0A6Q8PF28	A0A6Q8PF28_HUMAN	Protein NDRG1 (N-myc downstream-regulated gene 1 protein)	NA	NDRG1
A0A6Q8PF45	A0A6Q8PF45_HUMAN	Glycine--tRNA ligase	NA	GARS1
A0A6Q8PF47	A0A6Q8PF47_HUMAN	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase)	NA	HARS1
A0A6Q8PF48	A0A6Q8PF48_HUMAN	Glycine amidinotransferase (EC 2.1.4.1) (L-arginine:glycine amidinotransferase)	NA	GATM
A0A6Q8PF58	A0A6Q8PF58_HUMAN	Cadherin-2 (Neural cadherin)	NA	CDH2
A0A6Q8PF61	A0A6Q8PF61_HUMAN	Centrosome and spindle pole-associated protein 1	NA	CSPP1
A0A6Q8PF66	A0A6Q8PF66_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PF69	A0A6Q8PF69_HUMAN	Elongator complex protein 1 (IkappaB kinase complex-associated protein)	NA	ELP1
A0A6Q8PF92	A0A6Q8PF92_HUMAN	Peripheral myelin protein 22	NA	PMP22
A0A6Q8PF94	A0A6Q8PF94_HUMAN	E3 ubiquitin-protein ligase Midline-1 (EC 2.3.2.27) (RING finger protein Midline-1) (RING-type E3 ubiquitin transferase Midline-1) (Tripartite motif-containing protein 18)	NA	MID1
